Id,SortOrder,Label,Base,LowerBound,UpperBound,Activity Group,taxonomyGroupName,marketingChannelName,marketingBuyName,SPA - Factor,SPA - Format,SPA - Display
0,0,BASE,1,,,,,,,1.0,"$0,0.00",
1,0,Impressions,0,0.8,1.2,Addressable TV - Masterbrand,,,,1.0,"$0,0.00",
2,0,Impressions,0,0.8,1.2,Addressable TV - PD Equity,,,,1.0,"$0,0.00",
3,0,Impressions,0,0.8,1.2,Amazon Digital,,,,1.0,"$0,0.00",
4,0,$,0,0.8,1.2,Amazon RLM,,,,1.0,"$0,0.00",
5,0,Clicks,0,0.8,1.2,Amazon Search,,,,1.0,"$0,0.00",
6,0,Lbs Redeemed,0,0.8,1.2,Amazon VPC,,,,1.0,"$0,0.00",
7,0,Impressions,0,0.8,1.2,Chewy Hill's-Led Media,,,,1.0,"$0,0.00",
8,0,$,0,0.8,1.2,Chewy Promos,,,,1.0,"$0,0.00",
9,0,$,0,0.8,1.2,Chewy RLM,,,,1.0,"$0,0.00",
10,0,Impressions,0,0.8,1.2,Consumer Print - Masterbrand,,,,1.0,"$0,0.00",
11,0,Impressions,0,0.8,1.2,CTV - Hulu - Masterbrand,,,,1.0,"$0,0.00",
12,0,Impressions,0,0.8,1.2,CTV - Hulu - PD Equity,,,,1.0,"$0,0.00",
13,0,Impressions,0,0.8,1.2,CTV - Hulu - SD Equity,,,,1.0,"$0,0.00",
14,0,Impressions,0,0.8,1.2,CTV - Hulu - Weight,,,,1.0,"$0,0.00",
15,0,Impressions,0,0.8,1.2,CTV - Other - Masterbrand,,,,1.0,"$0,0.00",
16,0,Impressions,0,0.8,1.2,CTV - Other - PD Equity,,,,1.0,"$0,0.00",
17,0,Impressions,0,0.8,1.2,CTV - Other - SD Equity,,,,1.0,"$0,0.00",
18,0,Impressions,0,0.8,1.2,CTV - Other - Weight,,,,1.0,"$0,0.00",
19,0,Impressions,0,0.8,1.2,Digital Display - Masterbrand,,,,1.0,"$0,0.00",
20,0,Impressions,0,0.8,1.2,Digital Display - PD Handraiser,,,,1.0,"$0,0.00",
21,0,Impressions,0,0.8,1.2,Digital Display - SD Handraiser,,,,1.0,"$0,0.00",
