PeriodId,HierarchyId,KpiId,ActivityGroupId,activity,spend,kpiValue,Enable0SpendDriver,conversionFactor,curveActivityFactor,curveCoefC,curveCoefD,curveGradient,optimalAiringLevel,WeeksOnAir,RetentionRate,AvgWeeklySupportAMP,proxyActivity,proxySpend,proxyRoi,proxyCurveCoefC,proxyCurveCoefD,proxyRetentionRate,proxyWeeksOnAir,proxyAvgWeeklySupportAMP,proxyWeeklyActivityPoint
1,1,1,0,100.0,0.0001,84251103.76,0.0,1.0,,,,,,,,,,,,,,,,,
2,1,1,0,100.0,0.0001,23189839.61,0.0,1.0,,,,,,,,,,,,,,,,,
3,1,1,0,100.0,0.0001,94661178.14,0.0,1.0,,,,,,,,,,,,,,,,,
4,1,1,0,100.0,0.0001,87931161.08,0.0,1.0,,,,,,,,,,,,,,,,,
5,1,1,0,100.0,0.0001,350495025.2,0.0,1.0,,,,,,,,,,,,,,,,,
1,2,1,0,100.0,0.0001,119344342.2,0.0,1.0,,,,,,,,,,,,,,,,,
2,2,1,0,100.0,0.0001,137205292.7,0.0,1.0,,,,,,,,,,,,,,,,,
3,2,1,0,100.0,0.0001,131214968.6,0.0,1.0,,,,,,,,,,,,,,,,,
4,2,1,0,100.0,0.0001,130607839.0,0.0,1.0,,,,,,,,,,,,,,,,,
5,2,1,0,100.0,0.0001,517929660.7,0.0,1.0,,,,,,,,,,,,,,,,,
1,3,1,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
2,3,1,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
3,3,1,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
4,3,1,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
5,3,1,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
1,1,2,0,100.0,0.0001,90304667.58,0.0,1.0,,,,,,,,,,,,,,,,,
2,1,2,0,100.0,0.0001,88936832.6,0.0,1.0,,,,,,,,,,,,,,,,,
3,1,2,0,100.0,0.0001,92169938.15,0.0,1.0,,,,,,,,,,,,,,,,,
4,1,2,0,100.0,0.0001,90143575.61,0.0,1.0,,,,,,,,,,,,,,,,,
5,1,2,0,100.0,0.0001,361555013.9,0.0,1.0,,,,,,,,,,,,,,,,,
1,2,2,0,100.0,0.0001,48291353.38,0.0,1.0,,,,,,,,,,,,,,,,,
2,2,2,0,100.0,0.0001,51720362.07,0.0,1.0,,,,,,,,,,,,,,,,,
3,2,2,0,100.0,0.0001,50006672.47,0.0,1.0,,,,,,,,,,,,,,,,,
4,2,2,0,100.0,0.0001,50863279.9,0.0,1.0,,,,,,,,,,,,,,,,,
5,2,2,0,100.0,0.0001,200881667.8,0.0,1.0,,,,,,,,,,,,,,,,,
1,3,2,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
2,3,2,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
3,3,2,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
4,3,2,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
5,3,2,0,100.0,0.0001,,0.0,,,,,,,,,,,,,,,,,,
1,1,3,0,100.0,0.0001,208119.7909,0.0,1.0,,,,,,,,,,,,,,,,,
2,1,3,0,100.0,0.0001,299828.6424,0.0,1.0,,,,,,,,,,,,,,,,,
3,1,3,0,100.0,0.0001,319096.0498,0.0,1.0,,,,,,,,,,,,,,,,,
4,1,3,0,100.0,0.0001,450056.9969,0.0,1.0,,,,,,,,,,,,,,,,,
5,1,3,0,100.0,0.0001,1280971.489,0.0,1.0,,,,,,,,,,,,,,,,,
1,2,3,0,100.0,0.0001,158507.8646,0.0,1.0,,,,,,,,,,,,,,,,,
