KPI - Metric,Display,Format
Margin - Activity,Activity,"0,0"
Margin - Spend,Spend,"$0,0"
Margin - KPI,Margin,"$0,0"
Margin - ROI,Margin ROI,"$0,0.00"
Margin - Converted KPI,Profit,"$0,0.00"
Margin - Revenue,Revenue,"$0,0.00"
Margin - CPA,Cost Per Acquisition,"$0,0.00"
Margin - Response,Response,"$0,0.00"
Margin - Acquisition,Acquisition,"$0,0.00"
Margin - Margin Factor,Margin Factor,"0,0.00"
Volume (Lbs) - Activity,Activity,"0,0"
Volume (Lbs) - Spend,Spend,"$0,0"
Volume (Lbs) - KPI,Volume (Lbs),"0,0"
Volume (Lbs) - ROI,Lbs per $,"0,0.00"
Volume (Lbs) - Converted KPI,Profit,"$0,0.00"
Volume (Lbs) - Revenue,Revenue,"$0,0.00"
Volume (Lbs) - CPA,Cost Per Acquisition,"$0,0.00"
Volume (Lbs) - Response,Response,"$0,0.00"
Volume (Lbs) - Acquisition,Acquisition,"$0,0.00"
Volume (Lbs) - Margin Factor,Margin Factor,"0,0.00"
Households - Activity,Activity,"0,0"
Households - Spend,Spend,"$0,0"
Households - KPI,Households,"0,0"
Households - ROI,Thousand HHs per $MM Spend,"0,0.0"
Households - Converted KPI,Profit,"$0,0.00"
Households - Revenue,Revenue,"$0,0.00"
Households - CPA,Cost Per Acquisition,"$0,0.00"
Households - Response,Response,"$0,0.00"
Households - Acquisition,Acquisition,"$0,0.00"
Households - Margin Factor,Margin Factor,"0,0.00"
Net Sales - Activity,Activity,"0,0"
Net Sales - Spend,Spend,"$0,0"
Net Sales - KPI,Net Sales,"$0,0"
Net Sales - ROI,Net Sales ROI,"$0,0.00"
Net Sales - Converted KPI,Profit,"$0,0.00"
Net Sales - Revenue,Revenue,"$0,0.00"
Net Sales - CPA,Cost Per Acquisition,"$0,0.00"
Net Sales - Response,Response,"$0,0.00"
Net Sales - Acquisition,Acquisition,"$0,0.00"
Net Sales - Margin Factor,Margin Factor,"0,0.00"
