SummaryId,SummaryItemId,ActivityGroupId
1,3,1
2,4,1
1,2,2
2,4,2
1,1,3
2,6,3
1,1,4
2,19,4
1,1,5
2,6,5
1,1,6
2,16,6
1,3,7
2,6,7
1,3,8
2,16,8
1,1,9
2,19,9
1,3,10
2,9,10
1,3,11
2,8,11
1,2,12
2,8,12
1,1,13
2,8,13
1,3,14
2,8,14
1,2,15
2,8,15
1,2,16
2,8,16
1,1,17
2,8,17
1,3,18
2,8,18
1,3,19
2,13,19
1,2,20
2,12,20
1,1,21
2,12,21
1,3,22
2,12,22
1,3,23
2,15,23
1,1,24
2,25,24
1,1,25
2,13,25
1,3,26
2,5,26
1,2,27
2,5,27
1,1,28
2,5,28
1,3,29
2,20,29
1,3,30
2,20,30
1,2,31
2,20,31
1,2,32
2,20,32
1,1,33
2,20,33
1,1,34
2,20,34
1,3,35
2,20,35
1,2,36
2,19,36
1,2,37
2,17,37
1,2,38
2,21,38
1,2,39
2,22,39
1,2,40
2,23,40
1,2,41
2,7,41
1,2,42
2,7,42
1,2,43
2,5,43
1,1,44
2,5,44
1,1,45
2,18,45
1,1,46
2,26,46
1,1,47
2,18,47
1,1,48
2,26,48
1,1,49
2,17,49
1,3,50
2,24,50
1,2,51
2,7,51
1,3,52
2,13,52
1,2,53
2,13,53
1,1,54
2,13,54
1,3,55
2,13,55
1,3,56
2,8,56
1,3,57
2,12,57
1,3,58
2,13,58
1,3,59
2,14,59
1,3,60
2,20,60
1,3,61
2,20,61
1,3,62
2,11,62
1,3,63
2,11,63
1,3,64
2,11,64
1,3,65
2,10,65
1,2,66
2,12,66
1,1,67
2,12,67
1,2,68
2,8,68
1,3,69
2,12,69
1,2,70
2,13,70
1,2,71
2,20,71
1,2,76
2,4,76
1,2,77
2,8,77
1,2,78
2,13,78
1,2,79
2,13,79
1,1,80
2,27,80
1,1,81
2,27,81
1,1,83
2,8,83
1,3,84
2,14,84
1,3,85
2,14,85
1,3,86
2,14,86
